Set,ID,Section,Type,Points,Text,Option_A,Option_B,Option_C,Option_D,CorrectIndex,Rubric
B,B_8,B,mc,4,8. An NTC thermistor is placed in very hot conditions. Compared to room temperature its resistance will be:,Lower (hot = lower NTC resistance),Higher (hot = higher resistance),Identical regardless of temperature,Infinite (open circuit),0,Award 4 pts for Lower.
B,B_9,B,mc,4,"9. In the LDR potential divider light sensor circuit, which component occupies the R1 (top) position?",The LDR,The fixed resistor R2,The battery,The transistor,0,Award 4 pts for the LDR.
B,B_10,B,mc,4,"10. A student calculates Vout=4.93V for a circuit with R2=10kΩ, Vin=7.4V, and LDR=5kΩ. Is this correct?","Yes - Vout = (10k/(5k+10k)) × 7.4 = 4.93V is correct","No - Vout should be 3.7V (half of Vin)","No - Vout should equal Vin (7.4V)","No - Vout = (5k/(5k+10k)) × 7.4 = 2.47V would be correct",0,Award 4 pts for Yes - the calculation and answer are correct.
C,C_1,A,openEnded,8,"1. A thermistor (R1) in a divider with R2=10kΩ and Vin=7.4V reads 2kΩ at 30°C. Calculate Vout. Then calculate the new Vout if the thermistor resistance rises to 20kΩ at a cooler temperature. Explain the trend.",,,,,,"Award 3 pts for Vout at 30°C = (10000/12000) × 7.4 = 6.17V. Award 3 pts for Vout at cooler temp = (10000/30000) × 7.4 = 2.47V. Award 2 pts for explaining: as temperature drops thermistor resistance rises and Vout decreases."
C,C_2,A,openEnded,8,"2. Explain using the potential divider formula why bright light gives HIGH Vout and darkness gives LOW Vout in the LDR circuit (LDR=R1, R2=10kΩ fixed, Vin=7.4V).",,,,,,"Award 4 pts for: in bright light RLDR is tiny (120Ω) so fraction R2/(RLDR+R2) = 10k/10.12k ≈ 1 giving Vout close to Vin (7.31V). Award 4 pts for: in darkness RLDR is huge (50kΩ) so fraction = 10k/60k = 0.167 giving low Vout (1.23V)."
C,C_3,A,openEnded,8,"3. Calculate the full voltage swing of the LDR sensor circuit (R2=10kΩ, Vin=7.4V): find Vout in bright sunlight (LDR=120Ω) and in complete darkness (LDR=50kΩ). Then calculate the total voltage range covered.",,,,,,"Award 3 pts for bright Vout = (10000/10120) × 7.4 = 7.31V. Award 3 pts for dark Vout = (10000/60000) × 7.4 = 1.23V. Award 2 pts for voltage swing = 7.31 - 1.23 = 6.08V."
C,C_4,A,openEnded,8,"4. A student redesigns the LDR circuit by putting the LDR in the R2 (bottom) position and a fixed 10kΩ in the R1 (top) position with Vin=7.4V. In bright light (LDR=120Ω) calculate the new Vout. Explain whether this version gives HIGH or LOW Vout in bright conditions and why.",,,,,,"Award 4 pts for Vout = (120/(10000+120)) × 7.4 = (120/10120) × 7.4 ≈ 0.09V. Award 4 pts for explaining: in this redesign bright light gives very LOW Vout (near 0V) because the LDR is tiny in bright light so the fraction RLDR/(R1+RLDR) is very small."
C,C_5,A,openEnded,8,"5. Compare LDRs and NTC Thermistors: for each state what it senses, how its resistance changes with more of that input, and name a real application in the Smart Garden.",,,,,,"Award 4 pts for LDR: senses light; more light → lower resistance; application e.g. detecting darkness to switch on grow lights. Award 4 pts for NTC Thermistor: senses temperature; more heat → lower resistance; application e.g. detecting overheating to trigger a watering cycle or cooling fan."
C,C_6,B,mc,4,6. A student wants the circuit to produce LOW Vout in bright light so the alarm triggers when lights are ON. They should:,Put the LDR in the R2 (bottom) position and the fixed resistor in R1 (top),Use a larger R2 resistor value,Replace the LDR with a thermistor,Connect the battery in reverse,0,Award 4 pts for putting the LDR in the R2 position.
C,C_7,B,mc,4,7. Why does the LDR resistance change happen almost instantly (in milliseconds)?,Photons of light immediately knock electrons loose changing conductivity instantly,The heat from the light source slowly warms the semiconductor material,The circuit takes time to charge internal capacitors,A mechanical switch inside the LDR opens and closes,0,Award 4 pts for photons knock electrons loose instantly.
C,C_8,B,mc,4,"8. In the LDR sensor circuit (LDR=R1, R2=10kΩ) which scenario produces the smallest fraction R2/(RLDR+R2) giving the lowest Vout?","Complete darkness (LDR=50kΩ) because RLDR dominates the denominator","Bright sunlight (LDR=120Ω) because R2 dominates the denominator","Cloudy light (LDR=5kΩ) as the middle value","All scenarios give the same fraction since R2 is constant",0,Award 4 pts for complete darkness (LDR=50kΩ).
C,C_9,B,mc,4,"9. A thermistor in the R1 position has HIGH resistance (cold Medellín night at 12°C). With R2=10kΩ and Vin=7.4V, Vout will be:","Low (close to 0V) because large R1 leaves little voltage across R2","High (close to Vin) because cold conditions produce more electrical energy","Exactly half of Vin (3.7V) regardless of temperature","Undefined because thermistors cannot be used in potential dividers",0,Award 4 pts for Low because large R1 reduces the fraction and therefore Vout.
C,C_10,B,mc,4,10. Which correctly describes the temperature-resistance relationship of an NTC Thermistor?,Non-linear: resistance drops steeply at first then more gradually as temperature rises,Linear: each degree increase reduces resistance by exactly the same fixed amount,Inverse-linear: resistance doubles for every degree of temperature increase,There is no relationship - thermistor resistance is fixed once manufactured,0,Award 4 pts for Non-linear.
Yggdrasil,YGG_1,Y,openEnded,10,"Design a temperature alarm for Medellín orchids. The NTC thermistor reads 3kΩ at the critical temperature of 32°C. You need Vout ≥ 6V to reliably trigger the transistor. Using Vin=7.4V and the thermistor as R1, choose the correct R2 from this E12 list (10kΩ, 12kΩ, 15kΩ, 18kΩ), calculate the actual Vout, and confirm the design works.",,,,,,"Rearrange formula: need (R2/(3000+R2)) × 7.4 ≥ 6 → R2 ≥ 12857Ω (3pts). Test E12 candidates: 12kΩ gives Vout=(12000/15000)×7.4=5.92V (fails); 15kΩ gives Vout=(15000/18000)×7.4=6.17V (passes) (4pts). Conclusion: select R2=15kΩ; actual Vout=6.17V ≥ 6V - design confirmed (3pts)."
Yggdrasil,YGG_2,Y,openEnded,10,"Fault diagnosis: A student builds the LDR circuit (LDR=R1, R2=10kΩ, Vin=7.4V). Shining a torch on the LDR should give Vout≈7.3V but the multimeter reads 0V constantly. Describe three possible faults and for each explain how the multimeter would help diagnose it.",,,,,,"Award up to 10 pts for 3 valid faults with a multimeter diagnosis method for each. Valid faults: (1) LDR disconnected - measure voltage across LDR; an open LDR would show the full Vin across it (3pts). (2) R2 short circuit - with power OFF measure R2 resistance; it would read 0Ω (3pts). (3) Battery dead - measure voltage directly at battery terminals; it would read 0V (4pts). Accept any 3 valid faults with a clear measurement method."
Yggdrasil,YGG_3,Y,openEnded,10,"Extended design: A student changes R2 from 10kΩ to 47kΩ in the LDR circuit (Vin=7.4V, LDR=R1). Calculate Vout for: a) bright sunlight (LDR=120Ω) b) cloudy (LDR=5kΩ) c) dark (LDR=50kΩ). Calculate the new voltage swing (max−min). Compare to the original swing of 6.08V and explain whether this redesign would still trigger the 0.6V transistor alarm in darkness.",,,,,,"a) Bright: (47000/47120)×7.4=7.38V (2pts). b) Cloudy: (47000/52000)×7.4=6.69V (2pts). c) Dark: (47000/97000)×7.4=3.58V (2pts). Swing=7.38−3.58=3.80V - smaller than the original 6.08V (2pts). The alarm would NOT trigger: even in complete darkness Vout=3.58V - far above the 0.6V threshold. The larger R2 shifts all readings upward and the design fails to detect darkness (2pts)."
